,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
481,CHEMBL3594076,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)ccc1O,inactive,298.29800000000006,2.8691,4.0,5.0,5.366531544420414
482,CHEMBL3594077,Oc1ccc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc1,inactive,268.27200000000005,2.860500000000001,4.0,4.0,4.801342913045577
483,CHEMBL3594078,Oc1ccc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc1O,inactive,284.2710000000001,2.5661,5.0,5.0,5.886056647693163
484,CHEMBL3594079,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc(OC)c1O,inactive,328.3240000000001,2.8777000000000013,4.0,6.0,5.5376020021010435
485,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,inactive,368.3850000000001,3.3699000000000026,2.0,6.0,5.4089353929735005
486,CHEMBL3622510,O=C(O)c1c(O)cc2c([nH]c3ccccc32)c1O,inactive,243.218,2.4305000000000008,4.0,3.0,4.823908740944319
487,CHEMBL3621634,Oc1ccc(/C=C/c2ccc(O)c3ncccc23)cc1,intermediate,263.296,3.8164000000000025,2.0,3.0,5.070581074285707
488,CHEMBL3622258,CC(C)c1c(NC(=O)/C=C/c2ccc(O)c(O)c2)cc2c(c1[N+](=O)[O-])CC[C@H]1[C@](C)(CNC(=O)/C=C/c3ccc(O)c(O)c3)CCC[C@]21C,inactive,669.7750000000002,7.032400000000009,6.0,8.0,5.402304814074488
489,CHEMBL3740785,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,inactive,461.56200000000024,2.9863000000000017,2.0,4.0,3.6120765330265634
490,CHEMBL3741682,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1OC=CC(C)(C)O2,inactive,477.56100000000026,2.8656000000000015,2.0,5.0,3.5228787452803374
491,CHEMBL3742121,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,intermediate,475.5890000000002,3.328500000000002,1.0,4.0,3.5228787452803374
492,CHEMBL3741529,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1cc2c(cc15)OC(C)(C)C=CO2,inactive,491.58800000000025,3.2078000000000015,1.0,5.0,3.5228787452803374
493,CHEMBL3739748,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6OC=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,active,477.60500000000036,3.681200000000003,1.0,5.0,3.5694412304772425
494,CHEMBL3741300,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6C=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,active,461.60600000000034,3.8019000000000034,1.0,4.0,3.6910089709998357
495,CHEMBL3741111,CC1=CC[C@@H]2[C@@]3(C)[C@@H](O)CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2,active,456.57900000000035,4.405540000000004,1.0,6.0,3.5228787452803374
496,CHEMBL3739499,CC1=CC[C@@H]2[C@@]3(C)C=CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2,active,438.5640000000003,5.210740000000006,0.0,5.0,3.5228787452803374
497,CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,active,461.56200000000024,3.0825000000000014,1.0,4.0,3.7290883605895186
498,CHEMBL3742151,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC[C@]3(C)[C@H](CC=C(C)[C@@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]12C,active,514.6150000000004,4.350100000000004,0.0,8.0,3.5228787452803374
499,CHEMBL469159,CC1(C)C=Cc2cc(C(=O)O)ccc2O1,active,204.225,2.569,1.0,2.0,3.5228787452803374
500,CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,active,360.3180000000001,1.7612999999999996,5.0,7.0,4.1432711096171175
501,CHEMBL3740705,COc1cccc(N2N=C(C)CC2=O)c1,active,204.22899999999998,1.8077999999999999,0.0,3.0,4.301029995663981
502,CHEMBL3739861,CC1=NN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(=O)C1,active,341.4140000000001,5.269000000000004,0.0,3.0,4.301029995663981
503,CHEMBL3741643,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,active,239.278,2.5899,0.0,2.0,4.585026652029182
504,CHEMBL3741680,CC1=NN(c2cccc(COCc3ccccc3)c2)C(=O)C1,active,294.35400000000004,3.516000000000002,0.0,3.0,4.568636235841013
505,CHEMBL3741909,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,inactive,250.301,3.4662000000000024,0.0,2.0,5.251811972993799
506,CHEMBL3741268,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1,inactive,280.32699999999994,3.474800000000002,0.0,3.0,5.468521082957745
507,CHEMBL3742091,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,inactive,251.289,2.861200000000001,0.0,3.0,4.838631997765025
508,CHEMBL3741747,CC1=NN(c2ccc(-n3c(-c4ccccc4)cc4ccccc43)cc2)C(=O)C1,inactive,365.43600000000015,5.410100000000004,0.0,2.0,4.707743928643524
509,CHEMBL290916,CC1=NN(c2ccccc2)C(=O)C1,inactive,174.20299999999995,1.7992,0.0,2.0,4.301029995663981
510,CHEMBL1880288,CC1=NN(c2ccccc2C)C(=O)C1,inactive,188.22999999999993,2.10762,0.0,2.0,4.301029995663981
511,CHEMBL3742311,CC1=NN(c2cccc(C)c2)C(=O)C1,intermediate,188.22999999999996,2.10762,0.0,2.0,4.301029995663981
512,CHEMBL3740157,CC1=NN(c2ccc(C)cc2)C(=O)C1,intermediate,188.22999999999996,2.10762,0.0,2.0,4.301029995663981
513,CHEMBL3739456,CC1=NN(c2ccc3ccccc3c2)C(=O)C1,intermediate,224.26299999999998,2.952400000000001,0.0,2.0,4.301029995663981
514,CHEMBL3740761,CCc1ccccc1N1N=C(C)CC1=O,inactive,202.25699999999995,2.3616,0.0,2.0,4.301029995663981
515,CHEMBL3740979,CC1=NN(c2cc(C)ccc2C)C(=O)C1,intermediate,202.25699999999995,2.4160400000000006,0.0,2.0,4.301029995663981
516,CHEMBL3741747,CC1=NN(c2ccc(-n3c(-c4ccccc4)cc4ccccc43)cc2)C(=O)C1,inactive,365.43600000000015,5.410100000000004,0.0,2.0,5.455931955649724
517,CHEMBL3742091,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,inactive,251.289,2.861200000000001,0.0,3.0,5.4089353929735005
518,CHEMBL3741268,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1,inactive,280.32699999999994,3.474800000000002,0.0,3.0,5.292429823902063
519,CHEMBL3741909,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,inactive,250.301,3.4662000000000024,0.0,2.0,4.709965388637482
520,CHEMBL3742036,COc1cc(N2N=C(C)CC2=O)nc(OC)n1,inactive,236.231,0.6063999999999998,0.0,6.0,4.301029995663981
521,CHEMBL3740667,CC1=NN(c2cccnc2)C(=O)C1,intermediate,175.19099999999997,1.1942,0.0,3.0,4.301029995663981
522,CHEMBL3741680,CC1=NN(c2cccc(COCc3ccccc3)c2)C(=O)C1,intermediate,294.35400000000004,3.516000000000002,0.0,3.0,5.5376020021010435
523,CHEMBL3741643,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,inactive,239.278,2.5899,0.0,2.0,5.3979400086720375
524,CHEMBL3740581,CC1=NN(c2cccc(N3CCCC3)c2)C(=O)C1,inactive,243.3099999999999,2.399400000000001,0.0,3.0,4.774690718274137
525,CHEMBL3739861,CC1=NN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(=O)C1,inactive,341.4140000000001,5.269000000000004,0.0,3.0,5.3979400086720375
526,CHEMBL3740705,COc1cccc(N2N=C(C)CC2=O)c1,inactive,204.22899999999998,1.8077999999999999,0.0,3.0,4.301029995663981
527,CHEMBL3739947,COc1cc(F)cc(N2N=C(C)CC2=O)c1,inactive,222.21899999999997,1.9469,0.0,3.0,4.301029995663981
528,CHEMBL3740346,CC1=NN(c2ccc(C(F)(F)F)cc2)C(=O)C1,inactive,242.19999999999993,2.8180000000000014,0.0,2.0,4.301029995663981
529,CHEMBL3741408,CC1=NN(c2ccc(C)c(F)c2)C(=O)C1,inactive,206.21999999999994,2.24672,0.0,2.0,4.301029995663981
530,CHEMBL3742186,CC1=NN(c2cc(F)ccc2C)C(=O)C1,inactive,206.21999999999997,2.24672,0.0,2.0,4.301029995663981
531,CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,inactive,302.23800000000006,1.987999999999999,5.0,7.0,4.518557371497695
